rainfall,temperature,humidity,soil_type,crop_type,acres,water_required
243.78,29.2,78.29,loam,maize,3.24,604.09
284.87,38.08,68.62,silt,maize,4.48,847.27
273.71,28.2,61.27,loam,wheat,4.63,897.54
199.47,30.5,77.2,clay,rice,3.01,499.33
280.47,29.54,88.29,clay,cotton,0.66,378.01
72.12,28.95,51.46,clay,wheat,2.13,406.77
99.0,35.5,47.18,loam,sugarcane,4.63,804.64
61.31,30.54,85.64,sandy,cotton,2.75,304.62
131.33,26.33,73.45,sandy,sugarcane,3.77,481.61
147.17,25.16,61.9,silt,sugarcane,1.71,354.47
117.84,20.75,68.66,loam,cotton,0.61,216.86
257.18,31.66,77.28,silt,sugarcane,3.1,665.15
139.19,24.6,78.65,loam,maize,4.26,571.47
120.23,22.96,85.99,sandy,cotton,4.96,638.95
185.67,33.08,61.34,clay,wheat,4.31,707.4
85.23,33.62,54.67,loam,maize,2.99,308.54
250.55,35.04,71.98,sandy,wheat,3.24,533.26
68.64,30.07,60.79,sandy,rice,4.21,537.34
296.72,37.88,69.73,sandy,wheat,0.59,356.62
243.06,38.73,61.0,clay,cotton,4.78,646.85
99.68,36.15,47.65,sandy,wheat,2.89,430.97
51.38,32.71,63.47,silt,rice,4.78,424.39
253.87,26.07,74.55,sandy,sugarcane,3.94,756.29
226.71,39.66,79.96,sandy,cotton,1.19,399.82
232.25,25.48,64.67,loam,maize,1.24,505.38
242.82,24.05,48.26,loam,maize,2.09,344.82
68.51,28.84,60.73,loam,wheat,1.69,284.56
139.62,21.14,79.31,sandy,maize,2.48,304.71
78.97,39.57,60.64,sandy,rice,3.22,431.13
265.78,31.77,74.83,silt,maize,2.46,505.0
205.82,31.14,65.36,clay,wheat,0.75,313.37
132.72,33.12,52.06,sandy,maize,4.89,391.38
65.89,29.94,79.81,clay,sugarcane,2.41,302.87
127.75,20.64,44.21,sandy,sugarcane,4.33,400.91
131.3,32.25,66.24,clay,maize,0.83,191.91
232.4,34.32,50.44,loam,cotton,4.15,703.31
209.39,28.33,43.35,sandy,maize,1.28,284.09
271.8,35.15,65.15,silt,sugarcane,3.56,574.42
168.05,24.54,64.98,clay,sugarcane,3.48,336.6
79.9,24.43,75.35,loam,rice,4.59,578.95
228.31,23.23,77.24,silt,wheat,1.94,527.44
240.2,27.44,76.39,loam,rice,0.99,328.8
190.32,36.94,60.48,sandy,cotton,4.39,837.61
242.74,36.56,71.58,silt,wheat,1.99,547.2
173.45,27.66,68.85,clay,maize,1.55,350.11
180.68,31.78,61.08,clay,maize,2.69,500.1
156.89,34.42,69.86,silt,cotton,1.16,295.02
56.35,24.82,87.36,clay,sugarcane,1.84,321.32
76.97,23.36,49.64,loam,maize,2.23,341.39
57.86,39.44,85.29,silt,rice,1.75,238.68
209.1,32.35,42.67,clay,sugarcane,2.53,330.52
128.59,39.63,55.42,loam,maize,2.23,344.2
177.14,26.76,54.41,clay,sugarcane,3.99,683.78
276.89,34.06,71.32,loam,wheat,4.63,665.34
112.32,24.45,46.56,sandy,maize,0.95,108.16
152.6,25.22,84.12,loam,maize,4.2,641.28
238.89,30.24,81.43,clay,sugarcane,4.69,635.97
107.2,26.39,72.6,loam,wheat,3.59,474.99
69.24,23.35,62.92,clay,rice,4.98,605.86
122.44,25.26,86.65,silt,wheat,2.01,187.8
90.31,20.71,81.54,silt,rice,4.24,310.25
282.42,34.09,64.97,sandy,cotton,3.53,764.07
252.03,29.84,75.09,loam,wheat,1.96,452.8
208.35,21.88,68.35,sandy,rice,3.67,499.49
267.87,23.43,69.4,silt,sugarcane,2.79,478.73
250.92,22.05,56.55,loam,rice,1.35,371.77
96.64,32.25,63.1,loam,cotton,1.28,228.49
273.14,21.88,43.91,sandy,rice,3.71,635.14
184.84,35.09,57.87,sandy,wheat,3.7,541.25
251.86,20.41,74.79,loam,rice,2.89,557.38
274.02,24.99,87.66,loam,wheat,2.76,614.29
129.5,37.81,88.15,loam,cotton,1.31,242.74
77.51,34.37,67.79,sandy,rice,2.43,337.02
106.98,21.46,70.33,clay,rice,4.42,696.38
156.78,36.42,49.29,silt,cotton,4.35,635.18
254.5,29.86,74.77,silt,rice,3.47,494.09
265.18,36.94,43.53,sandy,wheat,4.99,787.17
51.74,32.01,54.23,loam,maize,4.52,575.92
177.69,33.64,73.42,silt,maize,1.15,268.11
154.35,39.87,55.52,silt,wheat,2.3,221.4
105.53,24.65,42.49,silt,rice,1.09,233.28
79.97,32.48,81.59,silt,wheat,2.6,402.98
134.4,29.21,55.52,loam,cotton,3.99,372.03
285.73,20.79,43.16,sandy,wheat,1.2,455.71
130.8,20.29,43.74,loam,maize,4.46,362.42
179.7,22.38,52.59,loam,sugarcane,3.06,339.75
225.75,32.98,48.9,silt,cotton,3.87,563.45
140.91,31.34,78.72,silt,rice,0.7,268.05
292.95,31.07,56.08,loam,wheat,0.92,457.93
290.61,20.64,80.23,loam,cotton,3.29,645.85
112.95,29.39,48.69,loam,maize,4.27,461.69
174.31,38.49,64.64,clay,rice,4.43,536.28
125.22,27.95,74.4,silt,wheat,3.6,482.91
121.21,32.5,72.6,sandy,wheat,1.4,260.45
59.22,35.6,70.06,sandy,rice,1.38,264.07
202.39,35.68,86.24,sandy,sugarcane,4.47,478.33
175.67,30.39,51.43,clay,sugarcane,1.01,238.84
62.87,37.16,64.69,clay,cotton,3.59,464.93
119.66,27.83,84.2,sandy,wheat,2.9,311.42
277.07,37.77,43.89,sandy,cotton,2.4,527.85
109.89,24.8,42.79,sandy,rice,2.48,391.58
86.22,25.6,51.67,loam,cotton,4.75,659.46
172.36,21.06,71.65,silt,wheat,4.38,745.66
296.41,35.91,52.99,clay,sugarcane,4.39,649.26
110.51,28.34,49.51,clay,sugarcane,2.33,307.91
218.03,24.58,62.94,loam,rice,0.98,252.48
240.4,24.64,70.68,clay,maize,4.99,772.98
109.41,38.03,52.43,sandy,cotton,1.15,225.01
232.05,36.68,55.03,clay,rice,2.82,520.12
141.95,31.07,70.68,loam,sugarcane,1.69,270.12
208.08,32.32,87.29,silt,wheat,2.8,549.94
208.38,29.49,73.74,sandy,wheat,1.87,430.73
183.94,27.83,79.15,clay,maize,4.54,543.77
72.57,38.31,58.34,sandy,maize,4.86,670.61
258.83,22.51,53.61,silt,sugarcane,2.35,625.36
130.2,28.37,62.71,clay,maize,0.82,206.75
96.63,26.89,80.36,sandy,maize,3.49,400.77
60.19,29.96,62.81,loam,wheat,2.19,332.31
197.72,29.15,82.34,loam,cotton,4.94,651.19
219.39,30.38,89.44,silt,wheat,0.9,427.34
54.15,22.8,43.6,silt,wheat,1.04,95.88
178.02,30.26,42.27,silt,sugarcane,3.65,341.41
106.62,24.85,47.48,clay,sugarcane,3.91,308.92
211.29,23.69,59.22,silt,cotton,2.62,578.18
93.59,21.3,46.55,clay,rice,1.75,214.52
222.73,35.25,83.53,sandy,maize,1.89,501.64
146.68,28.55,41.16,loam,maize,2.02,384.32
284.18,32.53,55.79,sandy,wheat,1.51,385.88
84.38,34.55,49.23,loam,wheat,4.33,445.0
135.27,33.59,86.58,silt,cotton,0.79,300.78
78.37,29.41,73.47,sandy,maize,2.33,248.26
281.17,27.76,85.6,sandy,wheat,3.86,778.75
269.33,27.52,88.62,silt,wheat,0.52,309.36
114.49,32.8,64.85,sandy,sugarcane,4.45,442.23
215.0,29.9,51.72,clay,rice,3.68,614.05
254.31,36.98,49.69,loam,cotton,0.83,260.12
188.8,37.49,51.15,silt,rice,4.53,865.86
182.41,23.41,75.43,clay,rice,2.69,359.22
110.46,22.72,42.02,clay,cotton,3.44,454.97
73.28,32.61,42.57,silt,maize,4.47,427.7
274.3,26.02,70.41,sandy,wheat,4.47,807.46
275.1,20.37,72.1,loam,cotton,2.34,443.36
208.28,37.77,73.26,clay,wheat,1.57,362.36
134.76,24.54,58.59,sandy,sugarcane,1.66,357.2
137.3,38.59,80.3,silt,rice,3.95,516.94
231.49,34.35,66.68,silt,sugarcane,4.68,737.92
274.28,35.25,45.27,loam,rice,0.83,299.16
271.77,24.03,79.85,silt,maize,0.57,350.15
244.97,24.68,87.65,loam,cotton,4.2,596.35
210.51,30.43,43.0,silt,maize,2.24,423.52
71.03,23.44,59.57,silt,rice,1.74,343.53
90.41,26.11,64.38,clay,sugarcane,1.35,161.77
274.64,26.43,47.32,sandy,rice,2.06,467.69
201.61,23.19,83.39,clay,maize,4.87,599.22
52.3,24.1,54.21,loam,maize,4.9,527.3
75.37,35.77,79.15,clay,sugarcane,1.99,166.61
215.88,23.34,73.55,silt,sugarcane,4.84,1004.15
51.27,20.57,69.9,silt,maize,1.85,227.06
90.2,32.59,49.61,sandy,rice,4.35,725.99
187.18,39.52,51.04,loam,rice,1.45,303.52
222.97,26.62,42.37,silt,cotton,4.22,500.99
212.99,22.37,52.04,sandy,maize,2.09,333.89
106.07,31.41,57.27,sandy,cotton,1.38,231.87
228.04,38.13,81.66,silt,maize,4.71,593.93
109.31,35.68,58.32,silt,cotton,1.46,277.48
131.35,32.45,77.73,loam,wheat,4.96,784.13
236.62,26.3,61.97,sandy,rice,0.99,384.48
212.41,30.84,79.24,sandy,rice,0.55,215.19
262.31,21.82,88.81,sandy,wheat,4.42,736.88
214.4,33.58,51.99,loam,sugarcane,3.14,525.39
192.08,34.5,83.12,sandy,wheat,2.4,458.69
73.42,39.3,71.09,clay,rice,0.87,148.33
141.93,25.21,80.86,clay,maize,3.09,395.33
116.3,20.37,72.58,sandy,cotton,2.27,299.38
111.0,30.91,61.2,clay,rice,2.68,467.46
293.25,34.14,51.4,clay,wheat,3.34,607.34
148.27,35.81,43.5,loam,maize,3.38,411.17
273.01,23.87,66.78,sandy,rice,4.82,806.88
207.78,25.24,89.52,loam,wheat,3.45,659.83
248.7,30.25,76.9,sandy,rice,2.03,580.91
175.66,26.61,56.37,silt,wheat,1.98,292.49
194.23,37.21,81.36,clay,wheat,2.65,537.29
173.13,29.48,78.45,loam,rice,1.67,364.83
98.81,35.99,54.08,loam,maize,2.19,201.45
230.61,31.61,40.72,silt,rice,4.29,781.9
120.19,35.46,45.91,silt,rice,4.37,320.0
56.08,26.65,83.87,clay,maize,3.33,448.99
211.37,36.63,81.83,clay,rice,3.12,631.3
94.28,25.49,54.76,sandy,cotton,2.42,361.22
285.11,30.92,54.26,sandy,cotton,3.36,471.1
288.48,24.28,79.64,silt,cotton,4.13,918.79
278.72,29.51,86.89,clay,wheat,3.82,818.14
142.54,26.36,78.96,clay,sugarcane,0.66,263.79
53.86,25.33,70.28,silt,rice,3.79,388.47
282.08,39.34,52.13,silt,sugarcane,3.74,631.14
157.05,23.2,66.29,loam,cotton,0.95,220.62
291.66,35.75,51.68,silt,maize,1.18,432.32
290.9,39.68,80.4,loam,cotton,4.05,659.85
263.25,20.4,59.35,sandy,rice,3.02,587.38
123.61,33.98,81.68,silt,sugarcane,4.2,420.8
146.27,25.06,59.08,silt,sugarcane,1.33,299.38
262.78,20.81,81.21,silt,wheat,0.64,358.61
129.23,28.06,56.67,loam,maize,1.23,320.47
92.37,38.7,62.01,silt,cotton,2.54,446.53
189.2,20.24,70.77,silt,maize,2.85,510.82
284.04,31.76,43.51,clay,rice,4.36,883.13
224.01,30.03,87.41,clay,wheat,3.72,334.15
192.52,37.47,68.68,clay,cotton,4.96,464.88
74.29,21.68,65.39,silt,rice,0.85,166.51
203.75,33.63,81.97,clay,maize,1.09,348.26
297.51,33.6,83.29,sandy,wheat,0.88,393.59
85.02,33.38,66.11,clay,cotton,2.92,374.48
179.58,38.85,86.36,silt,maize,1.7,403.23
269.34,36.46,43.24,clay,cotton,3.58,703.04
235.19,20.84,45.66,clay,wheat,1.1,314.08
224.25,29.42,69.84,clay,wheat,0.96,310.92
225.62,27.96,57.7,sandy,maize,2.57,668.97
139.87,26.2,63.21,sandy,cotton,2.19,352.84
123.4,29.03,56.4,loam,sugarcane,4.23,532.45
252.34,27.68,60.24,silt,rice,4.27,510.73
252.53,28.65,81.13,sandy,wheat,1.03,311.74
266.77,39.59,69.67,sandy,cotton,4.16,838.59
278.31,21.77,89.87,sandy,maize,3.04,518.49
177.84,38.44,79.34,silt,maize,2.77,500.57
175.38,29.6,53.68,loam,wheat,0.93,387.94
249.57,32.47,53.22,silt,wheat,3.83,748.59
212.49,36.6,56.79,clay,sugarcane,0.77,307.42
225.49,27.21,82.16,loam,maize,1.75,353.18
248.95,28.61,41.36,clay,cotton,0.93,401.52
272.5,28.19,51.51,sandy,rice,2.89,395.92
134.5,27.49,85.25,silt,rice,3.4,607.49
143.9,38.51,71.99,clay,sugarcane,4.51,758.45
73.5,36.58,51.34,loam,cotton,3.8,438.52
194.57,22.18,50.96,clay,rice,4.82,700.54
58.99,22.16,83.13,clay,rice,3.92,381.66
166.4,28.56,84.69,sandy,cotton,1.84,331.44
185.66,21.97,52.81,clay,cotton,2.96,517.47
121.64,32.38,61.03,clay,wheat,2.56,414.23
197.71,22.87,81.73,sandy,rice,3.05,364.16
57.63,30.45,78.55,loam,rice,3.07,255.13
59.34,20.14,80.7,sandy,sugarcane,3.66,294.13
255.65,26.33,65.92,clay,wheat,0.87,277.58
140.05,33.54,85.58,silt,wheat,3.86,534.88
81.77,29.68,56.3,sandy,rice,1.15,114.17
180.56,39.57,47.83,sandy,maize,0.62,237.8
242.5,37.48,75.44,clay,maize,2.84,571.86
103.96,27.18,66.97,silt,cotton,3.12,385.7
205.72,20.91,82.73,loam,wheat,0.66,278.04
71.34,36.91,44.06,silt,rice,2.82,465.51
62.92,38.22,82.18,sandy,rice,2.91,319.92
182.84,36.41,54.66,silt,rice,0.74,286.11
185.16,22.56,72.74,loam,sugarcane,3.7,688.67
209.36,39.96,42.01,silt,maize,1.45,345.07
231.52,25.17,70.48,silt,sugarcane,4.08,639.17
293.96,34.48,75.86,silt,rice,1.9,537.22
179.08,38.16,58.44,sandy,rice,2.65,374.44
130.74,24.71,50.77,clay,wheat,4.51,637.72
248.8,38.17,66.88,clay,wheat,4.13,773.55
117.71,26.19,81.66,silt,maize,4.02,638.71
159.74,39.53,56.18,sandy,cotton,1.22,277.12
69.61,25.63,52.62,sandy,rice,0.72,159.56
56.34,39.07,53.95,sandy,wheat,3.23,517.71
290.66,21.07,87.46,clay,maize,2.35,315.24
259.0,34.19,57.96,sandy,sugarcane,4.59,605.86
223.99,30.64,40.18,silt,rice,2.07,306.85
152.24,29.56,79.08,clay,cotton,2.35,259.11
93.32,24.47,74.96,sandy,maize,2.87,392.78
89.11,34.11,46.43,silt,cotton,4.08,324.13
112.56,23.82,89.25,clay,rice,1.71,313.98
187.31,31.06,70.4,sandy,maize,4.74,597.3
228.65,25.06,65.04,loam,wheat,2.93,331.16
215.05,39.11,59.11,silt,cotton,4.28,709.05
119.98,20.57,84.93,loam,sugarcane,2.87,432.7
288.72,23.99,52.2,clay,sugarcane,3.97,798.98
234.47,24.85,54.29,sandy,cotton,0.73,365.73
188.59,28.28,46.12,silt,rice,4.1,551.94
202.93,24.65,77.96,silt,rice,2.86,612.61
154.9,29.83,69.78,silt,rice,2.52,291.74
111.93,37.45,70.45,loam,sugarcane,1.0,172.2
138.99,34.24,50.92,sandy,sugarcane,3.84,736.16
239.46,31.6,72.56,sandy,wheat,1.09,305.95
53.6,21.78,78.27,sandy,rice,1.37,110.43
79.02,33.88,57.89,loam,sugarcane,1.07,160.17
61.5,23.33,80.07,clay,sugarcane,0.53,138.18
60.18,35.73,57.44,loam,rice,3.48,311.05
263.87,25.0,77.91,clay,rice,1.72,478.42
225.91,28.34,41.69,loam,sugarcane,1.17,370.81
168.54,27.01,67.56,sandy,cotton,1.94,429.4
74.46,37.18,88.48,sandy,sugarcane,2.75,221.38
172.9,22.53,89.06,sandy,wheat,2.77,506.53
168.37,31.31,54.09,loam,maize,2.15,351.67
93.3,22.84,62.07,silt,rice,2.73,270.35
158.46,34.1,43.15,loam,wheat,2.42,420.34
149.63,38.1,83.67,clay,cotton,4.2,573.63
203.96,28.69,68.43,loam,maize,0.63,291.13
208.77,29.76,59.26,clay,sugarcane,4.41,811.93
61.33,38.55,45.64,loam,rice,1.6,220.41
143.65,30.42,87.34,silt,sugarcane,3.75,435.62
206.46,29.75,66.51,silt,wheat,2.32,534.7
175.78,31.57,54.15,sandy,rice,1.82,473.62
264.12,33.78,57.51,silt,sugarcane,3.27,604.6
214.67,22.14,53.53,loam,rice,3.96,669.75
90.73,36.42,70.09,silt,wheat,2.52,306.44
67.64,28.71,86.5,sandy,sugarcane,2.6,237.24
210.6,21.45,82.83,loam,maize,0.76,255.53
56.63,35.72,63.02,clay,cotton,4.66,632.35
196.44,27.54,81.32,loam,sugarcane,4.31,714.34
285.06,22.01,61.16,sandy,rice,2.29,584.49
193.87,32.68,52.62,silt,sugarcane,3.94,452.59
147.04,37.6,89.17,silt,rice,1.91,309.36
210.82,37.76,55.19,loam,wheat,3.79,566.75
164.56,39.15,56.19,clay,cotton,2.83,525.61
186.4,37.35,89.48,clay,rice,2.57,400.37
285.37,20.04,46.7,clay,sugarcane,0.75,348.43
146.53,27.6,78.03,clay,wheat,4.84,683.02
290.3,36.37,86.79,loam,maize,4.27,832.22
276.34,27.33,65.59,silt,sugarcane,4.07,564.69
98.95,32.03,40.13,clay,cotton,1.87,248.02
67.34,32.13,58.75,loam,wheat,1.8,194.64
75.19,27.3,45.58,loam,sugarcane,3.08,417.68
54.56,38.09,60.81,loam,rice,4.31,260.86
73.61,30.06,79.5,clay,rice,4.71,395.78
220.75,29.3,61.94,clay,rice,1.71,516.48
67.8,39.95,61.6,loam,sugarcane,3.23,328.64
129.74,29.87,67.84,loam,cotton,3.76,432.86
261.22,23.57,69.08,loam,rice,1.52,360.23
55.82,30.26,82.81,silt,sugarcane,2.33,324.04
253.62,36.28,55.42,silt,sugarcane,1.34,413.21
120.46,35.54,81.08,sandy,cotton,3.65,513.2
79.54,35.77,68.3,sandy,wheat,4.39,547.76
224.18,34.16,55.03,clay,wheat,4.45,869.82
207.24,25.08,54.76,silt,sugarcane,3.52,432.74
269.37,37.24,58.06,sandy,wheat,2.06,463.87
233.77,37.87,71.13,loam,maize,3.47,468.1
250.87,23.88,51.54,loam,cotton,4.39,574.1
120.51,22.61,86.02,clay,sugarcane,3.32,342.08
94.36,39.51,68.75,clay,wheat,2.36,334.99
237.65,37.37,86.0,sandy,wheat,4.64,554.79
251.71,37.86,42.32,loam,cotton,4.26,721.2
297.63,37.73,57.13,clay,rice,4.47,771.44
153.15,30.83,41.14,clay,wheat,4.56,635.21
143.0,32.93,53.61,silt,cotton,2.27,353.22
244.1,30.91,83.1,sandy,rice,4.37,640.96
135.2,21.02,41.83,clay,sugarcane,3.07,508.0
282.69,34.91,61.81,sandy,rice,0.67,368.45
264.6,30.11,45.88,loam,wheat,3.36,560.08
157.25,32.95,60.84,sandy,sugarcane,2.62,492.39
237.72,30.05,81.94,clay,sugarcane,1.74,419.42
238.64,29.84,71.15,silt,rice,4.87,840.52
75.78,23.44,76.84,sandy,sugarcane,0.75,176.95
275.64,25.57,57.46,sandy,rice,4.76,875.31
176.31,23.18,87.22,loam,rice,1.22,246.85
256.61,23.91,75.46,silt,rice,2.2,470.5
130.01,39.46,61.09,sandy,cotton,2.38,273.41
273.88,23.06,61.32,silt,wheat,3.79,791.87
147.3,25.39,85.93,clay,sugarcane,1.47,250.48
52.71,31.81,68.82,silt,maize,4.94,649.81
276.35,32.2,75.32,clay,wheat,3.87,769.89
72.82,23.08,60.85,loam,maize,4.05,501.67
129.83,35.87,51.18,loam,rice,0.98,190.05
287.52,35.7,76.18,loam,sugarcane,2.64,409.52
287.65,24.75,70.39,clay,wheat,4.76,733.87
193.36,25.77,65.07,sandy,maize,1.72,373.05
207.96,38.76,71.2,clay,maize,1.15,314.91
162.11,36.51,50.41,silt,maize,2.68,569.58
123.3,33.96,79.7,silt,wheat,4.69,794.92
132.17,21.64,87.41,clay,cotton,2.69,362.64
218.13,28.37,84.56,loam,rice,2.32,565.57
238.09,31.19,56.07,loam,sugarcane,3.43,477.64
247.89,23.75,60.3,silt,maize,4.72,806.44
247.4,28.96,80.42,silt,wheat,0.72,336.18
72.8,32.02,69.76,sandy,maize,1.19,226.27
173.61,26.55,67.4,sandy,wheat,1.1,189.13
64.39,35.62,86.33,sandy,cotton,0.88,230.04
187.38,36.81,66.8,silt,maize,1.86,405.13
160.38,26.47,65.75,sandy,maize,1.53,276.68
271.93,36.77,42.1,silt,sugarcane,2.97,578.83
137.73,22.07,43.47,silt,wheat,1.97,363.5
79.27,36.75,40.37,clay,wheat,2.32,418.76
85.75,23.06,85.66,sandy,cotton,4.74,808.92
240.38,21.66,60.42,clay,maize,1.2,345.0
204.55,32.84,63.43,clay,sugarcane,2.25,420.17
75.28,29.44,82.27,sandy,rice,1.66,310.06
71.03,38.16,70.46,silt,sugarcane,2.97,302.94
225.24,27.26,70.48,silt,sugarcane,3.81,731.01
68.19,25.74,54.83,silt,sugarcane,4.18,278.75
255.47,30.01,81.7,sandy,sugarcane,2.82,647.1
226.56,29.12,48.29,silt,maize,4.35,726.61
70.34,26.89,42.66,clay,sugarcane,4.03,495.55
71.21,33.87,49.58,loam,wheat,1.21,226.88
296.66,35.19,53.39,sandy,wheat,1.6,532.8
143.57,37.06,54.12,loam,sugarcane,3.52,557.64
142.66,39.46,73.53,clay,wheat,4.89,499.65
253.2,25.33,50.89,loam,maize,2.19,545.58
286.81,34.32,73.83,clay,rice,1.53,457.8
296.5,27.89,44.56,loam,sugarcane,4.41,685.01
238.34,33.54,47.36,loam,wheat,1.4,392.64
144.06,29.52,65.44,silt,wheat,3.64,523.87
70.88,39.88,86.09,loam,maize,0.65,145.63
244.29,34.58,82.98,clay,maize,0.59,303.81
189.6,39.05,88.44,clay,rice,2.53,479.84
156.06,36.7,72.52,clay,cotton,3.45,670.93
276.59,38.06,73.79,sandy,cotton,1.14,303.62
77.8,36.29,71.25,clay,cotton,3.94,544.98
173.16,29.18,71.14,sandy,rice,1.08,262.04
52.84,25.04,47.36,clay,sugarcane,2.9,297.11
167.17,27.41,67.19,sandy,cotton,1.89,294.25
64.08,20.4,59.3,loam,cotton,3.89,396.52
79.7,30.48,62.13,loam,wheat,4.12,551.71
79.38,30.1,66.18,clay,wheat,0.8,162.17
212.3,30.51,46.42,sandy,sugarcane,1.37,391.67
236.51,39.48,57.97,silt,maize,4.52,592.49
195.84,38.23,43.17,silt,rice,2.37,265.96
290.54,23.23,88.98,silt,cotton,2.65,468.03
143.72,27.38,45.93,loam,rice,1.26,267.37
121.43,28.48,52.93,loam,wheat,4.98,458.62
267.15,27.21,84.56,sandy,rice,4.65,860.84
105.9,35.97,64.14,clay,wheat,0.51,155.16
290.81,30.48,46.78,loam,rice,2.98,485.34
53.04,31.44,59.21,clay,wheat,4.43,345.89
292.47,37.06,45.79,silt,rice,2.44,510.62
60.79,36.12,50.01,silt,cotton,2.47,411.89
272.79,22.64,42.6,clay,cotton,2.21,277.14
181.93,34.28,61.91,sandy,sugarcane,0.63,299.07
298.24,28.71,80.33,silt,rice,4.06,573.74
68.45,25.89,69.3,sandy,maize,2.56,330.73
188.46,21.0,70.32,silt,sugarcane,2.89,321.3
292.33,29.74,50.03,loam,rice,1.65,527.31
180.77,27.11,57.19,silt,maize,4.03,511.81
207.35,25.03,82.26,sandy,cotton,4.07,681.99
223.94,33.89,44.39,loam,cotton,2.99,434.47
163.64,35.39,82.9,silt,cotton,4.57,503.57
206.89,24.9,64.18,loam,maize,1.02,358.23
196.08,20.99,81.86,loam,wheat,4.04,714.97
275.29,36.98,55.9,silt,rice,3.01,640.75
61.36,20.2,56.94,clay,sugarcane,1.54,235.44
120.24,38.74,77.58,clay,sugarcane,1.1,223.76
287.6,32.55,79.25,sandy,cotton,1.85,599.82
272.57,26.44,51.48,sandy,wheat,4.35,458.28
163.91,24.93,88.64,silt,rice,4.04,459.15
205.03,20.18,44.22,loam,rice,3.4,324.32
119.35,24.71,43.43,loam,sugarcane,0.91,257.92
97.03,22.75,69.78,clay,sugarcane,4.8,724.44
165.92,32.24,76.14,clay,sugarcane,1.87,399.55
138.34,23.33,88.04,loam,rice,3.23,508.64
195.91,30.57,60.25,loam,sugarcane,4.11,787.21
69.43,31.8,41.26,sandy,rice,1.1,195.39
293.6,25.96,70.14,loam,cotton,3.43,735.42
296.55,20.7,54.48,loam,wheat,0.65,365.2
224.54,20.75,61.65,silt,sugarcane,0.96,307.4
184.02,20.53,64.42,loam,rice,3.75,604.62
127.38,34.78,43.23,clay,cotton,1.2,227.59
253.45,26.36,64.3,clay,maize,2.5,446.63
221.18,35.93,61.32,sandy,cotton,1.62,327.3
90.65,28.63,75.63,sandy,wheat,2.4,445.6
277.73,29.06,72.28,silt,cotton,0.85,292.15
255.63,30.26,49.26,sandy,sugarcane,3.9,686.64
287.45,34.26,50.31,loam,sugarcane,0.86,458.64
231.43,25.47,52.55,loam,maize,4.27,843.23
203.35,22.43,48.95,silt,rice,3.48,550.26
